uid,type,ifpic,r1,r2,r3,g1,g2,g3,b1,b2,b3,asm,con,eng,idm
5719,0,1,-0.30575150435411047,1.2279659480926368,1.4449138292910921,-0.47496089710665684,0.3480389056694165,0.34450652026472106,-0.755868320411678,-0.3946888970264284,0.9524315968600451,-0.07125598838939773,0.35800569204432703,1.3000653274906697,0.811983913012913
6719,0,1,0.6564338888008268,2.1685807413394826,-1.9016606067039266,0.925901980919253,1.3026745672919413,-1.2203918021675622,1.162140069257884,0.5781961862434706,-0.8350283325284373,0.8904687363328355,0.5030869035896108,0.33801663751475947,1.0363245046869145
7179,0,1,-0.43636543543517964,0.7788497032994307,2.1880729849148963,-0.2236711261478312,0.8567374135459735,2.2272967781001016,0.03633572644837615,0.9524234464674767,1.9973353922028914,-0.37796142753819995,-0.5039070375379391,1.457011220851752,0.989139538855072
7207,0,1,1.0432434721914288,-0.3792699709237181,0.15248282807893554,0.9961375875370483,-0.17267573791516339,-0.041936141818078004,0.7028184655540822,0.09619552625564912,-0.1548697604420185,-0.5507439661046606,-0.5513528238194941,1.4510222121509475,0.9443854155405562
7257,0,0,-1.036753354948836,-0.8507196354406016,0.5551296586404546,-1.0225225022952023,-0.9853551976152309,0.5240074236432261,-0.9986090354236703,-0.9753546473043663,0.5051137590054576,-0.9023889741923803,-0.6821431358823818,-0.9836186230156516,-1.0986560264405116
7500,0,1,0.560262973068564,1.3976030030086515,-1.2418325507374095,0.5728697992671479,1.3384786637022619,-1.0672400053307298,0.5724927356359069,1.1837311393737144,-0.8828130826870834,-0.625564514414409,-0.12431216548653724,2.1297216920825726,0.7057781317281858
8630,0,1,1.1636352420294456,-0.13947391254597602,-0.21096561486630525,1.0015608223951347,0.27575142564319455,-0.8482795750746952,0.10901165144647079,0.043202627477441385,1.4338391084991642,0.6405307337055606,0.12572141185746272,0.9524200329000743,0.7663907971921934
9262,0,0,-1.036753354948836,-0.8507196354406016,0.5551296586404546,-1.0225225022952023,-0.9853551976152309,0.5240074236432261,-0.9986090354236703,-0.9753546473043663,0.5051137590054576,-0.9023889741923803,-0.6821431358823818,-0.9836186230156516,-1.0986560264405116
9497,0,0,-1.036753354948836,-0.8507196354406016,0.5551296586404546,-1.0225225022952023,-0.9853551976152309,0.5240074236432261,-0.9986090354236703,-0.9753546473043663,0.5051137590054576,-0.9023889741923803,-0.6821431358823818,-0.9836186230156516,-1.0986560264405116
9593,0,1,0.19311873302784996,1.3389527058779953,0.2670489211245829,0.21740691666636622,1.2909095023969943,1.512534830326095,0.16642793186497565,1.0727063241435129,1.6535894268156575,-0.7218337542932891,-0.07097852861823543,2.291039085527441,0.6399127626900375
9600,0,1,0.43604626047813944,2.3828151944440608,-1.5636888356417387,0.9759125988777719,0.9355270820460588,-1.006283029727863,0.9668533625378596,0.972167897571304,-1.0010352155667899,0.4179274857428516,1.350451497498798,0.9509165060573936,0.8492792008756368
9635,0,1,0.7617014648475432,0.6716151286723929,-0.2825007180015751,0.46588652489442145,1.3466597481134996,-0.6927430769401705,0.12359181341755755,0.631946090039031,0.008512576866374728,-0.6329122114567735,0.016681848806778626,2.105206259677424,0.6899321855676858
9790,0,1,0.6902362094452692,1.6389007541326899,-1.5366779043640504,0.9183746167579603,1.143746365801745,-1.2700495831413579,1.1097998339356605,0.24497454231855395,-0.5189347560597837,-0.07541678529513286,0.1917453674661293,1.5929808562242618,0.7338593767979672
10271,0,1,0.8467454639082481,1.111803681188904,-1.0914801281561648,1.0061186049704582,0.9043343987170511,-1.0444160688865027,1.0676431980967458,0.7681585538998585,-0.9369470286029917,0.45622366239431733,-0.06666267697455466,1.0813201915582666,0.8725960315966089
10440,0,1,0.8553045058536386,1.54209707335343,-1.7656777595965367,0.9325229777864329,1.1476185927335518,-1.2443076360233492,1.0301232560339544,1.0139206783194705,-1.274803585555753,0.34186949606494177,0.4883386953237783,1.1467572099237069,0.7773420799995878
10708,0,1,0.7357667639892265,1.1110239111257594,-0.9875733182749374,1.0962032312103076,0.3404924019871094,-0.6261932545593512,1.0856667665105493,0.4569616053475622,-0.696046705739768,-0.16886144408377338,-0.32378454046182026,1.379205843615459,0.8965483037598734
10962,0,1,-0.41037027856896746,1.135569576284489,2.344221395847618,-0.3220258237976862,0.9120408027445431,2.310010681199577,-0.3217988721688319,0.723718556827197,2.192444012721974,-0.5961806500970717,-0.3210406877612031,1.6479807301721876,0.8246731866535458
11277,0,1,1.0589069057772913,0.852723090876982,-1.3529061241568214,1.024944998790539,0.936486201124666,-1.1514087322160491,0.8210009213903049,1.5779859622133312,-1.4732889831924239,0.5687514217068286,1.8231087069795595,1.050696012827474,0.7432206790976736
11282,0,1,1.0589069057772913,0.852723090876982,-1.3529061241568214,1.024944998790539,0.936486201124666,-1.1514087322160491,0.8210009213903049,1.5779859622133312,-1.4732889831924239,0.5687514217068286,1.8231087069795595,1.050696012827474,0.7432206790976736
11299,0,1,0.6351675035866713,0.578426790735613,-0.09314753459122832,0.5201495597337981,0.7468925848351498,1.5969700598156271,-0.18762367252881199,1.4699505018271917,2.348551796970605,-0.09801308344225826,-0.119396096064593,1.3266931160590625,0.8409974027838768
11394,0,1,0.9933413228696483,0.25774780219170157,-0.5412470516976126,1.0342179869421724,0.34025686208611755,-0.393615714842956,0.7544268721880153,0.9559218016447542,-0.050240254847008795,0.6428837917020509,-0.07518005306606275,0.3905624789902771,1.0347140769268173
11403,0,1,1.049628645806937,0.7866422708193691,-1.260479303426059,1.0234106858649141,0.8639858851066553,-1.0581123695805252,0.8131828056775854,1.5156525437737223,-1.415546932873904,0.4677105959927725,1.0739225925144358,1.164578771879283,0.7112970041209709
11687,0,1,-0.0437411885725432,1.2728471423971102,1.7168593209770688,0.12458572481982125,0.7172212576224314,1.4012109173695009,0.30688720215132304,0.4937770725395772,-0.46590975887061037,-0.711324924361426,-0.27985431545293504,2.2311995647153875,0.7098200954033387
12024,0,1,0.10382196651518519,2.213938524079903,1.630057738536647,0.9532115035864914,0.3364059343317291,0.9111324017566043,0.5307762134387,1.1665098526404873,1.3607441364519943,-0.0026317618650170396,-0.1476063316428455,1.0675717972811758,0.8880979337835176
