uid,type,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,degree,clustering,ego_betweenness_centrality,ego_pagerank
5719,off,-0.059776548766668075,-0.05701652080748794,1.1950875377186632,-0.04228647830296306,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
6719,off,-0.04161968922238235,-0.007998556936070333,1.6818305695496483,-0.012560391354690018,-0.007998556936070381,-0.12113624797584248,1.8869438287589309,1.333491258016905
7179,off,0.12604102953036667,0.06552838887105561,1.6600052113745243,0.060879246892865474,0.06552838887105594,0.9456263706248044,1.7249120632708292,1.019220559244281
7207,off,0.6851552873577886,0.6292349733923583,1.9173563065821038,0.2701142030546521,0.6292349733923577,1.2977105846457082,1.3678235850184197,0.1890621199032621
7257,off,-0.059776548766668075,-0.05701652080748794,1.3058679403283502,-0.029999540001158044,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
7500,off,-0.059776548766668075,-0.05701652080748794,1.3058679403283502,-0.029999540001158044,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
8630,off,-0.059776548766668075,-0.05701652080748794,1.2993131665198985,-0.04341596971665971,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
9262,off,-0.040780625899867695,-0.032507538871779075,1.6541472708388438,-0.015551517866464613,-0.03250753887177916,-0.12113624797584248,1.8869438287589309,1.362989003687208
9497,off,-0.059776548766668075,-0.08152550274319668,-0.6864644672409361,-0.06291715108571218,-0.0815255027431967,-0.12113624797584248,-0.5435326535625803,-0.7613194082875049
9593,off,-0.059776548766668075,-0.05701652080748794,1.1690950898905286,-0.03918688264907546,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
9600,off,-0.05977609247393269,-0.032507538871779075,-0.6859776260388362,0.03645726505459244,-0.03250753887177916,-0.12113624797584248,1.8869438287589309,1.362989003687208
9635,off,-0.059776548766668075,-0.08152550274319668,-0.6864644672409361,-0.06291715108571218,-0.0815255027431967,-0.12113624797584248,-0.5435326535625803,-0.7613194082875049
9790,off,-0.04956703609873484,0.18807329854959937,1.8149275514947751,0.05504504019501425,0.1880732985495998,4.53382790591788,0.6363532024007703,0.09635967766934626
10271,off,-0.059776548766668075,-0.05701652080748794,1.499195359233929,-0.04252489109662217,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
10440,off,-0.059776548766668075,-0.05701652080748794,1.690556962593062,-0.039755015664105366,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
10708,off,-0.059776548766668075,-0.05701652080748794,1.499195359233929,-0.04252489109662217,-0.05701652080748793,-0.12113624797584248,-0.5435326535625803,1.4220005424271203
10962,off,-0.040780625899867695,-0.032507538871779075,1.1691114118288395,-0.01193035640289017,-0.03250753887177916,-0.12113624797584248,1.8869438287589309,1.362989003687208
